sample_id,latitude,longitude,nearest_moil_mine,distance_to_mine_km,elevation_m,ndvi_sentinel2,soil_moisture_sar_pct,lst_celsius_landsat9,rainfall_annual_chirps_mm,bouguer_gravity_anomaly_mgal,swir_alteration_ratio,magnetic_susceptibility_si,manganese_present
MOIL-SAMP-00512,21.56495,79.75984,Sitasaongi Mine,2.0,336.8,0.346,53.6,34.6,1473.5,25.74,2.948,60.7,1
MOIL-SAMP-00513,21.58027,79.75775,Sitasaongi Mine,0.45,245.0,0.31,65.0,33.0,1381.8,30.8,1.97,34.5,1
MOIL-SAMP-00514,21.38302,79.27506,Mansar Mine,1.67,392.1,0.259,54.0,33.4,1202.4,18.06,1.623,44.7,1
MOIL-SAMP-00515,21.8496,80.19964,Balaghat Mine (Largest underground Mn mine),5.36,419.6,0.713,61.6,35.5,1338.7,-2.55,1.365,15.4,0
MOIL-SAMP-00516,21.36981,79.26617,Mansar Mine,3.2,397.8,0.688,49.0,34.6,1195.9,8.28,1.049,5.7,0
MOIL-SAMP-00517,21.4009,79.00606,Gumgaon Mine,1.12,434.9,0.201,64.5,36.2,1228.0,17.58,2.227,40.8,1
MOIL-SAMP-00518,21.59027,79.76308,Sitasaongi Mine,0.83,375.5,0.295,60.2,35.9,1326.6,25.78,2.203,35.4,1
MOIL-SAMP-00519,21.3753,79.24978,Mansar Mine,3.48,318.3,0.585,32.6,34.1,1331.4,-11.39,1.034,13.2,0
MOIL-SAMP-00520,21.75742,80.17832,Balaghat Mine (Largest underground Mn mine),5.07,376.6,0.624,38.2,35.4,1393.4,-7.1,1.312,9.1,0
MOIL-SAMP-00521,21.38078,79.25709,Mansar Mine,2.52,307.6,0.651,32.8,28.0,1241.8,0.77,1.374,14.2,0
MOIL-SAMP-00522,21.37242,79.0009,Gumgaon Mine,2.09,395.1,0.627,43.9,33.9,1352.7,-0.33,1.053,23.7,0
MOIL-SAMP-00523,21.69003,79.71105,Tirodi Mine,0.44,262.5,0.359,73.3,36.6,1236.5,24.31,3.229,27.0,1
MOIL-SAMP-00524,21.3727,78.99927,Gumgaon Mine,2.08,388.8,0.238,72.2,35.1,1218.2,31.17,2.517,60.6,1
MOIL-SAMP-00525,21.43895,79.26281,Kandri Mine,2.47,389.9,0.541,45.6,37.2,1220.5,-5.83,1.287,14.1,0
MOIL-SAMP-00526,21.59261,79.75232,Chikla Mine,3.29,316.5,0.497,42.0,29.8,1410.0,-7.48,1.292,8.2,0
MOIL-SAMP-00527,21.58765,79.75805,Sitasaongi Mine,0.6,426.8,0.611,68.1,27.3,1380.3,-8.63,1.52,22.7,0
MOIL-SAMP-00528,21.50636,79.66758,Dongri Buzurg Mine,6.11,380.0,0.78,31.7,36.4,1166.2,-13.88,1.391,14.2,0
MOIL-SAMP-00529,21.61817,79.77496,Sitasaongi Mine,4.15,426.8,0.472,52.3,25.5,1321.1,4.85,1.047,7.3,0
MOIL-SAMP-00530,21.38207,79.28074,Mansar Mine,1.94,380.2,0.257,65.2,34.5,1322.7,22.51,2.1,14.4,1
MOIL-SAMP-00531,21.38475,79.26274,Mansar Mine,1.81,300.8,0.316,58.6,34.5,1339.8,28.1,2.51,51.7,1
MOIL-SAMP-00532,21.37788,79.01991,Gumgaon Mine,2.31,347.7,0.562,56.0,34.1,1253.4,-4.21,1.659,10.3,0
MOIL-SAMP-00533,21.39562,79.01375,Gumgaon Mine,1.24,351.1,0.48,45.3,37.4,1344.4,29.03,1.587,30.0,1
MOIL-SAMP-00534,21.59646,79.72013,Dongri Buzurg Mine,5.25,411.0,0.462,42.9,32.4,1414.4,-4.91,1.01,8.7,0
MOIL-SAMP-00535,21.56516,79.74427,Chikla Mine,0.25,336.7,0.165,67.2,34.4,1216.4,15.03,2.053,60.1,1
MOIL-SAMP-00536,21.40054,79.26672,Mansar Mine,0.71,371.4,0.363,44.3,36.5,1323.1,24.23,2.616,54.4,1
MOIL-SAMP-00537,21.44195,79.26054,Kandri Mine,2.84,308.5,0.645,39.2,30.2,1314.5,-13.27,0.791,7.7,0
MOIL-SAMP-00538,21.53158,79.65093,Dongri Buzurg Mine,5.41,269.5,0.61,30.0,33.5,1197.0,-10.05,1.456,9.8,0
MOIL-SAMP-00539,21.54956,79.75055,Chikla Mine,1.87,388.1,0.214,49.9,31.4,1247.6,27.43,2.139,31.4,1
MOIL-SAMP-00540,21.57116,79.70001,Dongri Buzurg Mine,1.92,424.8,0.525,15.0,30.4,1352.3,-11.93,1.237,3.2,0
MOIL-SAMP-00541,21.52059,79.67629,Dongri Buzurg Mine,4.29,371.6,0.274,62.2,34.5,1429.0,19.17,2.068,19.8,1
MOIL-SAMP-00542,21.42274,79.26787,Kandri Mine,0.64,392.9,0.222,64.8,34.6,1269.9,25.15,1.202,51.2,1
MOIL-SAMP-00543,21.40979,79.26932,Kandri Mine,0.83,382.1,0.234,59.9,32.6,1259.0,30.15,1.809,59.2,1
MOIL-SAMP-00544,21.35499,78.98803,Gumgaon Mine,4.29,396.4,0.562,27.3,28.5,1307.3,-8.19,1.228,9.6,0
MOIL-SAMP-00545,21.82067,80.20414,Balaghat Mine (Largest underground Mn mine),2.66,377.9,0.567,34.3,31.2,1290.6,-1.9,1.126,6.6,0
MOIL-SAMP-00546,21.70273,79.71402,Tirodi Mine,1.58,462.7,0.528,52.3,30.6,1387.9,-0.12,1.467,7.0,0
MOIL-SAMP-00547,21.54099,79.71594,Chikla Mine,3.75,385.9,0.503,27.2,33.5,1322.6,-2.53,0.812,4.9,0
MOIL-SAMP-00548,21.69797,79.72496,Tirodi Mine,1.47,389.2,0.391,50.1,34.4,1343.5,23.12,2.715,36.2,1
MOIL-SAMP-00549,21.41664,79.25445,Kandri Mine,1.3,355.6,0.368,87.1,38.2,1271.2,25.13,1.697,36.9,1
MOIL-SAMP-00550,21.43689,79.26556,Kandri Mine,2.2,280.4,0.285,64.8,34.7,1308.3,33.36,2.161,43.8,1
MOIL-SAMP-00551,21.40538,78.99461,Gumgaon Mine,1.78,440.7,0.293,63.1,33.2,1187.6,21.96,1.621,53.7,1
MOIL-SAMP-00552,21.40763,79.28543,Mansar Mine,1.67,299.6,0.475,61.7,30.7,1235.8,-19.81,1.237,7.6,0
MOIL-SAMP-00553,21.88168,80.20711,Balaghat Mine (Largest underground Mn mine),8.99,505.7,0.488,37.2,33.3,1373.2,-5.57,1.59,-1.5,0
MOIL-SAMP-00554,21.65803,79.71486,Tirodi Mine,3.37,367.1,0.626,62.9,30.7,1227.0,-5.09,1.025,22.0,0
MOIL-SAMP-00555,21.96331,80.46679,Ukwa Mine,0.53,402.2,0.171,51.9,33.0,1429.6,23.85,2.055,40.3,1
MOIL-SAMP-00556,21.41267,79.24393,Kandri Mine,2.44,319.5,0.642,49.0,30.8,1201.7,-7.39,1.37,14.0,0
MOIL-SAMP-00557,21.58918,79.74662,Chikla Mine,2.77,432.4,0.773,59.5,32.8,1148.8,-10.46,1.132,2.6,0
MOIL-SAMP-00558,21.96701,80.46364,Ukwa Mine,0.46,383.4,0.12,64.4,34.7,1256.8,26.78,2.019,32.8,1
MOIL-SAMP-00559,21.82512,80.18806,Balaghat Mine (Largest underground Mn mine),2.5,492.0,0.161,65.0,36.6,1306.2,19.61,2.588,42.7,1
MOIL-SAMP-00560,21.59417,79.75323,Chikla Mine,3.48,371.6,0.683,58.4,30.7,1194.6,-6.46,1.162,7.5,0
MOIL-SAMP-00561,21.40609,79.28134,Mansar Mine,1.24,374.2,0.236,63.7,37.2,1254.8,24.6,2.805,56.8,1
MOIL-SAMP-00562,21.40662,79.2762,Mansar Mine,1.01,419.5,0.258,47.5,36.3,1336.8,28.85,2.397,48.1,1
MOIL-SAMP-00563,21.38997,79.27111,Mansar Mine,0.91,413.9,0.223,61.9,36.5,1324.2,42.37,1.954,34.2,1
MOIL-SAMP-00564,21.54866,79.73499,Chikla Mine,1.9,373.9,0.278,39.6,31.6,1380.6,26.68,2.554,67.8,1
MOIL-SAMP-00565,21.56943,79.74143,Chikla Mine,0.55,434.8,0.282,76.7,35.5,1176.4,19.74,2.349,40.0,1
MOIL-SAMP-00566,21.97981,80.4832,Ukwa Mine,2.04,433.0,0.71,28.3,35.4,1433.3,-8.68,0.766,6.3,0
MOIL-SAMP-00567,21.40509,79.02434,Gumgaon Mine,2.71,395.1,0.593,55.2,34.9,1301.8,-4.51,0.641,8.5,0
MOIL-SAMP-00568,21.40281,79.26945,Mansar Mine,0.65,387.4,0.223,56.5,36.4,1330.5,31.29,2.454,34.1,1
MOIL-SAMP-00569,21.38715,79.25464,Mansar Mine,2.25,483.3,0.636,67.5,29.0,1220.4,-6.42,1.076,13.0,0
MOIL-SAMP-00570,21.63008,79.77607,Sitasaongi Mine,5.43,365.3,0.729,43.5,35.8,1343.8,0.38,0.871,22.4,0
MOIL-SAMP-00571,21.40648,79.26222,Kandri Mine,1.26,413.5,0.138,54.2,31.5,1365.7,28.87,2.005,33.3,1
MOIL-SAMP-00572,21.41155,79.27467,Mansar Mine,1.51,318.0,0.241,50.1,36.2,1312.4,29.69,1.949,44.5,1
MOIL-SAMP-00573,21.5828,79.75976,Sitasaongi Mine,0.13,338.8,0.313,60.1,35.0,1390.5,29.35,1.939,35.8,1
MOIL-SAMP-00574,21.51121,79.66775,Dongri Buzurg Mine,5.64,392.1,0.453,37.4,28.3,1485.5,-1.35,1.077,19.5,0
MOIL-SAMP-00575,21.39739,79.28138,Mansar Mine,0.87,302.8,0.253,57.8,32.6,1353.6,26.04,2.462,69.5,1
MOIL-SAMP-00576,21.99638,80.48146,Ukwa Mine,3.43,466.1,0.153,57.8,32.6,1378.1,29.87,1.929,18.0,1
MOIL-SAMP-00577,21.39152,79.2723,Mansar Mine,0.72,471.7,0.234,57.7,34.1,1306.9,28.54,2.114,40.4,1
MOIL-SAMP-00578,21.39943,79.25849,Kandri Mine,2.13,392.8,0.802,43.0,31.1,1299.9,5.26,1.49,-3.1,0
MOIL-SAMP-00579,21.56272,79.69861,Dongri Buzurg Mine,0.97,407.3,0.546,43.9,30.6,1346.9,-1.59,0.957,1.2,0
MOIL-SAMP-00580,21.40042,79.28155,Mansar Mine,0.93,281.8,0.22,54.5,33.9,1381.3,17.51,2.081,59.4,1
MOIL-SAMP-00581,21.39695,79.27869,Mansar Mine,0.6,337.2,0.309,71.2,32.9,1191.3,25.12,1.925,33.8,1
MOIL-SAMP-00582,21.41378,79.26458,Kandri Mine,0.44,303.1,0.312,60.5,37.3,1413.0,33.36,1.947,42.5,1
MOIL-SAMP-00583,21.82534,80.18987,Balaghat Mine (Largest underground Mn mine),2.54,442.1,0.261,50.2,31.0,1258.9,29.09,2.06,56.6,1
MOIL-SAMP-00584,21.57191,79.75732,Sitasaongi Mine,1.28,453.8,0.369,74.0,31.9,1231.2,22.05,2.885,69.1,1
MOIL-SAMP-00585,21.44335,79.25852,Kandri Mine,3.04,403.3,0.69,45.8,29.8,1302.3,-14.74,1.196,20.3,0
MOIL-SAMP-00586,21.43034,79.25882,Kandri Mine,1.7,416.5,0.756,69.0,32.7,1296.8,-8.34,1.227,17.1,0
MOIL-SAMP-00587,21.66035,79.70904,Tirodi Mine,3.17,436.2,0.608,67.8,29.5,1282.4,-1.82,1.045,7.3,0
MOIL-SAMP-00588,21.39281,79.26294,Mansar Mine,1.19,366.7,0.305,60.8,35.9,1247.8,18.92,2.234,38.8,1
MOIL-SAMP-00589,21.68381,79.7127,Tirodi Mine,0.57,331.9,0.264,72.1,38.4,1418.9,27.79,1.816,49.6,1
MOIL-SAMP-00590,21.37112,79.28762,Mansar Mine,3.34,425.7,0.864,37.4,32.2,1336.4,-2.36,0.972,17.2,0
MOIL-SAMP-00591,21.6961,79.73272,Tirodi Mine,2.02,398.6,0.585,44.7,34.7,1285.9,-5.64,0.893,1.4,0
MOIL-SAMP-00592,21.77825,80.18202,Balaghat Mine (Largest underground Mn mine),2.74,377.2,0.569,32.2,29.4,1331.8,-13.14,1.026,8.4,0
MOIL-SAMP-00593,21.55624,79.75104,Sitasaongi Mine,3.13,276.7,0.709,50.5,33.7,1287.1,-2.43,1.091,9.2,0
MOIL-SAMP-00594,21.36131,78.99931,Gumgaon Mine,3.32,472.3,0.639,40.3,31.6,1294.2,-7.68,0.844,14.4,0
MOIL-SAMP-00595,21.99278,80.47114,Ukwa Mine,2.76,426.7,0.75,48.0,29.2,1419.5,-6.85,0.869,16.8,0
MOIL-SAMP-00596,21.75083,80.17352,Balaghat Mine (Largest underground Mn mine),5.89,363.7,0.707,36.4,33.4,1324.3,-8.48,1.21,15.8,0
MOIL-SAMP-00597,21.58291,79.74745,Chikla Mine,2.11,438.1,0.207,45.1,32.2,1192.0,21.36,1.764,51.0,1
MOIL-SAMP-00598,21.38091,78.99777,Gumgaon Mine,1.25,385.6,0.306,54.4,33.6,1344.3,15.22,2.076,39.4,1
MOIL-SAMP-00599,21.41769,79.28718,Mansar Mine,2.63,345.7,0.267,50.8,36.2,1327.3,30.57,2.041,31.3,1
MOIL-SAMP-00600,21.78742,80.19221,Balaghat Mine (Largest underground Mn mine),1.74,390.9,0.82,35.6,30.6,1226.9,0.75,1.253,17.8,0
MOIL-SAMP-00601,21.40953,79.25306,Kandri Mine,1.66,390.6,0.597,51.5,30.3,1385.6,-7.89,1.139,-0.2,0
MOIL-SAMP-00602,21.39329,79.24448,Kandri Mine,3.51,376.3,0.595,65.9,31.5,1429.8,-1.3,0.996,23.9,0
MOIL-SAMP-00603,21.59673,79.77078,Sitasaongi Mine,1.83,408.0,0.319,62.9,33.4,1398.2,20.07,2.322,30.5,1
MOIL-SAMP-00604,21.37903,79.28373,Mansar Mine,2.37,364.6,0.689,18.1,29.2,1337.6,-0.15,0.881,10.3,0
MOIL-SAMP-00605,21.67393,79.71262,Tirodi Mine,1.63,340.6,0.255,71.4,34.5,1480.6,14.86,2.057,36.4,1
MOIL-SAMP-00606,21.56337,79.73404,Chikla Mine,0.83,386.0,0.242,52.4,36.0,1320.2,25.59,1.926,22.4,1
MOIL-SAMP-00607,21.68925,79.72986,Tirodi Mine,1.54,367.9,0.605,67.0,27.1,1404.4,-7.14,1.672,0.3,0
MOIL-SAMP-00608,21.57803,79.75125,Chikla Mine,1.78,410.7,0.665,38.3,33.6,1453.1,9.16,1.263,3.4,0
MOIL-SAMP-00609,21.68426,79.70126,Tirodi Mine,1.5,360.9,0.797,46.7,30.9,1204.2,-10.73,1.641,13.3,0
MOIL-SAMP-00610,21.3899,79.24198,Kandri Mine,3.96,418.7,0.828,45.5,33.1,1125.4,-6.37,0.703,12.9,0
MOIL-SAMP-00611,21.42609,79.2856,Mansar Mine,3.37,377.1,0.734,29.9,32.0,1413.7,-2.5,1.195,5.4,0
MOIL-SAMP-00612,21.75406,79.7372,Tirodi Mine,7.6,375.2,0.622,58.6,30.7,1311.8,-5.88,0.831,20.9,0
MOIL-SAMP-00613,21.54206,79.68293,Dongri Buzurg Mine,2.0,456.1,0.303,56.0,33.3,1358.9,13.02,2.22,30.5,1
MOIL-SAMP-00614,21.68608,79.72047,Tirodi Mine,0.63,469.5,0.241,49.2,34.1,1295.1,38.14,2.268,39.6,1
MOIL-SAMP-00615,21.41708,79.25557,Kandri Mine,1.18,348.5,0.356,70.2,36.9,1303.8,21.73,2.426,47.0,1
MOIL-SAMP-00616,21.71547,79.71679,Tirodi Mine,2.99,424.8,0.165,59.3,34.6,1447.8,25.45,2.454,30.4,1
MOIL-SAMP-00617,21.56973,79.73022,Chikla Mine,1.35,314.5,0.179,41.7,35.7,1320.8,21.64,2.51,54.4,1
MOIL-SAMP-00618,21.42021,79.26145,Kandri Mine,0.68,373.1,0.251,76.0,37.2,1424.6,24.76,2.161,45.7,1
MOIL-SAMP-00619,21.52368,79.6744,Dongri Buzurg Mine,4.11,355.6,0.358,52.9,35.0,1412.3,23.86,2.253,50.7,1
MOIL-SAMP-00620,21.54674,79.69852,Dongri Buzurg Mine,0.81,395.5,0.261,58.9,35.0,1333.8,28.18,2.397,53.3,1
MOIL-SAMP-00621,21.42571,79.27022,Kandri Mine,1.02,350.0,0.477,48.9,31.9,1191.1,10.6,1.343,19.3,0
MOIL-SAMP-00622,21.57049,79.75527,Sitasaongi Mine,1.5,337.9,0.23,56.5,36.7,1369.1,15.48,1.692,38.8,1
MOIL-SAMP-00623,21.676,79.69741,Tirodi Mine,2.28,393.2,0.824,46.0,31.6,1243.4,2.62,0.884,4.4,0
MOIL-SAMP-00624,21.54174,79.697,Dongri Buzurg Mine,1.36,390.5,0.169,72.5,35.0,1396.3,28.85,2.412,36.5,1
MOIL-SAMP-00625,21.82054,80.19731,Balaghat Mine (Largest underground Mn mine),2.25,397.6,0.257,57.2,38.2,1216.2,27.61,1.776,43.7,1
MOIL-SAMP-00626,21.3957,79.00461,Gumgaon Mine,0.53,299.0,0.48,62.6,37.0,1347.7,26.03,1.802,44.8,1
MOIL-SAMP-00627,21.96879,80.47477,Ukwa Mine,0.7,493.8,0.126,40.8,35.7,1306.7,25.52,2.151,30.0,1
MOIL-SAMP-00628,21.69079,79.71688,Tirodi Mine,0.32,423.2,0.327,70.5,34.6,1302.1,25.11,2.271,25.6,1
MOIL-SAMP-00629,21.57249,79.71037,Dongri Buzurg Mine,2.45,359.2,0.255,65.5,35.8,1352.0,29.05,2.466,43.6,1
MOIL-SAMP-00630,21.60691,79.77109,Sitasaongi Mine,2.84,449.2,0.255,59.9,36.9,1301.6,17.99,2.329,39.8,1
MOIL-SAMP-00631,21.59001,79.76691,Sitasaongi Mine,0.99,505.9,0.743,51.7,32.1,1253.2,-4.14,1.229,26.3,0
MOIL-SAMP-00632,21.40747,79.2631,Kandri Mine,1.13,365.6,0.286,56.7,35.8,1214.1,17.62,2.003,44.5,1
MOIL-SAMP-00633,21.53969,79.67668,Dongri Buzurg Mine,2.67,367.2,0.39,64.5,31.4,1174.6,36.52,2.471,46.8,1
MOIL-SAMP-00634,21.68712,79.71596,Tirodi Mine,0.18,406.2,0.34,60.3,38.4,1248.3,37.24,2.704,38.5,1
MOIL-SAMP-00635,21.40088,79.28509,Mansar Mine,1.29,332.4,0.251,60.0,35.7,1246.5,32.4,2.377,40.5,1
MOIL-SAMP-00636,21.58765,79.73397,Chikla Mine,2.69,394.6,0.843,28.5,31.4,1402.1,-4.0,1.482,17.6,0
MOIL-SAMP-00637,21.97594,80.48363,Ukwa Mine,1.84,468.8,0.702,21.8,28.0,1403.7,-5.92,0.818,15.2,0
MOIL-SAMP-00638,21.54603,79.69093,Dongri Buzurg Mine,1.11,379.1,0.318,60.2,34.3,1313.4,33.28,1.871,61.0,1
MOIL-SAMP-00639,21.34827,78.99181,Gumgaon Mine,4.88,392.1,0.71,27.2,37.8,1206.1,-8.97,1.322,4.3,0
MOIL-SAMP-00640,21.80276,80.18063,Balaghat Mine (Largest underground Mn mine),0.69,383.5,0.608,40.0,27.1,1378.7,4.47,1.101,22.4,0
MOIL-SAMP-00641,21.70923,79.72622,Tirodi Mine,2.57,399.8,0.271,58.2,35.8,1420.2,25.92,2.16,37.4,1
MOIL-SAMP-00642,21.80268,80.17864,Balaghat Mine (Largest underground Mn mine),0.89,428.1,0.259,50.9,33.2,1228.0,18.69,2.349,47.8,1
MOIL-SAMP-00643,21.57476,79.74381,Chikla Mine,1.15,371.1,0.206,60.8,35.6,1350.6,23.63,2.424,31.2,1
MOIL-SAMP-00644,21.71402,79.71397,Tirodi Mine,2.82,365.3,0.801,25.9,30.1,1266.5,-9.19,0.986,22.1,0
MOIL-SAMP-00645,21.67064,79.71975,Tirodi Mine,2.03,380.4,0.368,42.5,33.2,1424.3,27.89,2.229,45.1,1
MOIL-SAMP-00646,21.67753,79.70536,Tirodi Mine,1.57,429.5,0.349,64.3,34.3,1317.6,7.9,1.976,52.1,1
MOIL-SAMP-00647,21.371,78.99767,Gumgaon Mine,2.3,307.0,0.647,25.0,30.6,1245.3,-2.86,1.358,2.1,0
MOIL-SAMP-00648,21.38101,79.26242,Mansar Mine,2.18,452.9,0.382,58.1,36.1,1233.0,18.25,2.732,49.2,1
MOIL-SAMP-00649,21.5796,79.77631,Sitasaongi Mine,1.63,420.3,0.66,42.8,32.6,1375.6,-9.51,1.017,21.0,0
MOIL-SAMP-00650,21.56308,79.75527,Sitasaongi Mine,2.28,469.6,0.663,24.2,31.4,1283.1,-11.37,1.464,14.0,0
MOIL-SAMP-00651,21.52382,79.68425,Dongri Buzurg Mine,3.6,376.7,0.276,55.2,32.5,1202.3,34.28,2.264,48.8,1
MOIL-SAMP-00652,21.41839,79.27337,Kandri Mine,0.68,444.6,0.221,56.4,37.1,1248.1,24.25,2.281,57.0,1
MOIL-SAMP-00653,21.83382,80.21711,Balaghat Mine (Largest underground Mn mine),4.64,388.6,0.716,49.2,32.6,1435.1,-3.45,1.027,6.1,0
MOIL-SAMP-00654,21.55309,79.74034,Chikla Mine,1.27,390.1,0.299,63.2,32.0,1348.6,21.56,1.67,33.9,1
MOIL-SAMP-00655,21.40728,79.28334,Mansar Mine,1.48,324.8,0.15,61.8,33.2,1391.9,27.41,1.543,32.3,1
MOIL-SAMP-00656,21.55661,79.74962,Chikla Mine,1.18,341.6,0.276,59.6,35.9,1269.3,30.8,2.054,24.0,1
MOIL-SAMP-00657,21.41237,79.26465,Kandri Mine,0.57,308.2,0.354,67.0,33.8,1182.3,18.2,1.774,18.5,1
MOIL-SAMP-00658,21.37048,78.99971,Gumgaon Mine,2.31,370.5,0.281,61.2,34.9,1339.9,24.85,2.497,42.0,1
MOIL-SAMP-00659,21.75124,80.17234,Balaghat Mine (Largest underground Mn mine),5.87,422.0,0.628,30.3,33.9,1454.1,-6.44,1.056,15.5,0
MOIL-SAMP-00660,21.68105,79.72107,Tirodi Mine,1.04,390.6,0.298,61.9,35.5,1144.8,28.35,2.856,39.3,1
MOIL-SAMP-00661,21.79761,80.19757,Balaghat Mine (Largest underground Mn mine),1.19,323.2,0.149,63.1,31.2,1376.2,22.91,2.541,54.0,1
MOIL-SAMP-00662,21.75532,80.16229,Balaghat Mine (Largest underground Mn mine),5.82,458.7,0.529,41.6,31.7,1307.3,-5.57,1.125,8.1,0
MOIL-SAMP-00663,21.4525,79.27792,Kandri Mine,4.08,366.3,0.661,29.8,32.4,1298.1,-4.0,1.437,6.7,0
MOIL-SAMP-00664,21.58112,79.71185,Dongri Buzurg Mine,3.35,442.6,0.519,40.4,29.5,1299.9,3.36,1.318,11.1,0
MOIL-SAMP-00665,21.65332,79.6911,Tirodi Mine,4.61,453.6,0.35,56.9,32.1,1370.9,-10.31,1.066,1.8,0
MOIL-SAMP-00666,21.94152,80.43658,Ukwa Mine,4.37,413.4,0.55,51.8,32.5,1385.1,-11.03,0.849,21.2,0
MOIL-SAMP-00667,21.60733,79.78518,Sitasaongi Mine,3.67,346.0,0.615,34.1,29.2,1252.0,-7.36,1.554,10.9,0
MOIL-SAMP-00668,22.02261,80.48922,Ukwa Mine,6.42,372.8,0.436,36.5,28.9,1378.0,-5.36,1.178,15.3,0
MOIL-SAMP-00669,21.44044,79.26047,Kandri Mine,2.68,341.8,0.545,24.4,30.3,1344.7,-8.02,1.726,3.6,0
MOIL-SAMP-00670,21.571,79.69514,Dongri Buzurg Mine,1.89,347.1,0.363,58.0,31.3,1126.7,16.88,2.307,21.3,1
MOIL-SAMP-00671,21.45075,79.25875,Kandri Mine,3.83,422.0,0.437,57.0,31.0,1194.2,-5.68,1.172,19.6,0
MOIL-SAMP-00672,21.79863,80.21145,Balaghat Mine (Largest underground Mn mine),2.53,399.0,0.473,45.3,28.4,1269.3,4.51,0.818,22.1,0
MOIL-SAMP-00673,21.56869,79.76573,Sitasaongi Mine,1.66,400.3,0.57,34.7,33.3,1314.8,-7.41,1.026,6.9,0
MOIL-SAMP-00674,21.41003,79.26054,Kandri Mine,1.02,398.4,0.252,73.6,34.8,1255.9,24.42,2.226,45.5,1
MOIL-SAMP-00675,21.57602,79.75217,Sitasaongi Mine,1.2,388.7,0.752,48.8,28.4,1426.9,0.96,1.235,12.2,0
MOIL-SAMP-00676,21.59011,79.71255,Dongri Buzurg Mine,4.29,421.2,0.391,64.4,35.4,1386.9,22.53,1.947,51.1,1
MOIL-SAMP-00677,21.80432,80.18456,Balaghat Mine (Largest underground Mn mine),0.35,389.0,0.346,60.8,36.6,1261.0,20.72,2.08,39.8,1
MOIL-SAMP-00678,21.75356,80.16368,Balaghat Mine (Largest underground Mn mine),5.94,443.3,0.659,60.3,32.0,1379.8,-8.94,1.083,11.3,0
MOIL-SAMP-00679,21.80369,80.18498,Balaghat Mine (Largest underground Mn mine),0.27,370.4,0.235,68.2,34.4,1354.1,24.8,1.456,44.0,1
MOIL-SAMP-00680,21.58627,79.75583,Sitasaongi Mine,0.65,366.9,0.272,56.3,32.0,1387.0,21.3,2.149,33.5,1
MOIL-SAMP-00681,21.88143,80.19536,Balaghat Mine (Largest underground Mn mine),8.77,452.6,0.66,46.0,26.4,1349.9,0.73,1.295,12.2,0
MOIL-SAMP-00682,21.57449,79.75904,Sitasaongi Mine,0.96,408.5,0.12,49.1,35.5,1201.3,26.7,1.594,58.9,1
MOIL-SAMP-00683,21.37073,79.27244,Mansar Mine,3.02,432.9,0.684,37.5,28.4,1343.3,-7.44,1.275,16.2,0
MOIL-SAMP-00684,21.40512,79.25672,Kandri Mine,1.69,394.8,0.306,61.5,33.8,1283.6,24.56,2.243,21.4,1
MOIL-SAMP-00685,21.42109,79.26069,Kandri Mine,0.79,375.8,0.259,61.7,36.3,1232.5,13.56,2.196,54.4,1
MOIL-SAMP-00686,21.75643,80.17369,Balaghat Mine (Largest underground Mn mine),5.28,420.2,0.613,54.6,34.4,1423.9,-7.13,0.985,14.2,0
MOIL-SAMP-00687,21.37626,79.00661,Gumgaon Mine,1.7,430.6,0.657,36.1,27.9,1347.0,-0.94,1.129,19.5,0
MOIL-SAMP-00688,21.60074,79.76543,Sitasaongi Mine,2.01,423.9,0.302,66.1,34.3,1177.5,32.58,2.694,29.0,1
MOIL-SAMP-00689,21.96881,80.4771,Ukwa Mine,0.94,451.6,0.357,53.8,33.1,1419.0,24.37,2.14,46.3,1
MOIL-SAMP-00690,21.95435,80.45492,Ukwa Mine,2.03,436.7,0.744,33.9,30.5,1369.6,-2.45,1.17,11.1,0
MOIL-SAMP-00691,21.39019,79.01259,Gumgaon Mine,1.02,377.0,0.247,52.8,32.7,1434.9,25.21,2.619,61.6,1
MOIL-SAMP-00692,21.55789,79.72609,Chikla Mine,1.8,394.9,0.573,28.5,31.7,1373.0,-1.62,0.996,6.4,0
MOIL-SAMP-00693,21.60255,79.77467,Sitasaongi Mine,2.58,404.0,0.686,18.2,30.9,1396.8,-2.06,1.463,11.4,0
MOIL-SAMP-00694,21.95622,80.46262,Ukwa Mine,1.42,418.5,0.146,54.6,35.8,1343.8,26.67,1.561,51.7,1
MOIL-SAMP-00695,21.56616,79.7344,Chikla Mine,0.81,458.8,0.298,66.2,34.0,1194.9,16.78,2.149,36.0,1
MOIL-SAMP-00696,21.5926,79.72535,Dongri Buzurg Mine,5.16,413.8,0.417,29.8,27.9,1368.4,1.41,1.091,22.0,0
MOIL-SAMP-00697,21.50785,79.67842,Dongri Buzurg Mine,5.47,398.8,0.648,63.8,33.9,1376.1,1.44,1.03,16.4,0
MOIL-SAMP-00698,21.80046,80.17273,Balaghat Mine (Largest underground Mn mine),1.52,443.0,0.41,37.1,34.1,1302.8,-0.62,1.43,9.7,0
MOIL-SAMP-00699,21.81737,80.19736,Balaghat Mine (Largest underground Mn mine),1.95,458.1,0.203,52.0,31.0,1246.8,18.9,1.828,36.2,1
MOIL-SAMP-00700,21.42056,79.262,Kandri Mine,0.65,328.0,0.284,46.6,34.5,1291.2,29.4,2.115,51.4,1
